grid,drive,P,K,readout,bal_mean,bal_std,flops_predict_sample,flops_fit_median,median_n_iter,n_train_mean,n_test_mean
16,30mT500,2,128,analog,0.463692307472229,0.06153666600584984,256,393216.0,5,204,51
16,30mT500,2,128,binary,0.6840000152587891,0.05681917071342468,256,2359296.0,30,204,51
16,30mT500,2,128,ternary,0.7201024889945984,0.04565877094864845,256,629145.6000000001,8,204,51
16,30mT500,2,256,analog,0.45420512557029724,0.050339967012405396,512,786432000.0,5000,204,51
16,30mT500,2,256,binary,0.7334871292114258,0.051498156040906906,512,25323110.400000002,161,204,51
16,30mT500,2,256,ternary,0.7785127758979797,0.06481439620256424,512,27053260.8,172,204,51
16,30mT500,2,512,analog,0.4753846526145935,0.06367570906877518,1024,1572864000.0,5000,204,51
16,30mT500,2,512,binary,0.7956923246383667,0.03539220243692398,1024,26109542.400000002,83,204,51
16,30mT500,2,512,ternary,0.8671281933784485,0.03923777490854263,1024,30198988.8,96,204,51
16,30mT500,2,1024,analog,0.5327692031860352,0.07214155048131943,2048,1725746380.8000002,2743,204,51
16,30mT500,2,1024,binary,0.8548204302787781,0.03337961435317993,2048,39007027.2,62,204,51
16,30mT500,2,1024,ternary,0.9138461947441101,0.02360924519598484,2048,42152755.2,67,204,51
16,30mT500,2,2048,analog,0.5262564420700073,0.06850206851959229,4096,1616904192.0,1285,204,51
16,30mT500,2,2048,binary,0.8815897703170776,0.028960248455405235,4096,57881395.2,46,204,51
16,30mT500,2,2048,ternary,0.9323589205741882,0.03889749199151993,4096,64172851.2,51,204,51
16,30mT500,4,2,analog,0.5346153974533081,0.06646616011857986,4,2457.6000000000004,2,204,51
16,30mT500,4,2,binary,0.5514872074127197,0.05765604227781296,4,2457.6000000000004,2,204,51
16,30mT500,4,2,ternary,0.5299999713897705,0.10377185791730881,4,1228.8000000000002,1,204,51
16,30mT500,4,4,analog,0.5214359164237976,0.07580149918794632,8,9830.400000000001,4,204,51
16,30mT500,4,4,binary,0.5931282639503479,0.05157439410686493,8,7372.8,3,204,51
16,30mT500,4,4,ternary,0.5374358892440796,0.09535303711891174,8,9830.400000000001,4,204,51
16,30mT500,4,8,analog,0.46948719024658203,0.06096247583627701,16,34406.4,7,204,51
16,30mT500,4,8,binary,0.5879999995231628,0.07600570470094681,16,19660.800000000003,4,204,51
16,30mT500,4,8,ternary,0.5170256495475769,0.08537138998508453,16,19660.800000000003,4,204,51
16,30mT500,4,16,analog,0.4161025881767273,0.07174821943044662,32,78643.20000000001,8,204,51
16,30mT500,4,16,binary,0.5685641169548035,0.0643920823931694,32,49152.0,5,204,51
16,30mT500,4,16,ternary,0.5145127773284912,0.06887135654687881,32,39321.600000000006,4,204,51
16,30mT500,4,32,analog,0.4092307686805725,0.0599236860871315,64,176947.2,9,204,51
16,30mT500,4,32,binary,0.6017948985099792,0.0653720498085022,64,98304.0,5,204,51
16,30mT500,4,32,ternary,0.5116410851478577,0.04231736436486244,64,98304.0,5,204,51
16,30mT500,4,64,analog,0.4693846106529236,0.07166225463151932,128,196608.0,5,204,51
16,30mT500,4,64,binary,0.6275385022163391,0.05034179240465164,128,275251.2,7,204,51
16,30mT500,4,64,ternary,0.5401026010513306,0.06395132839679718,128,196608.0,5,204,51
16,30mT500,4,128,analog,0.47815388441085815,0.047644976526498795,256,471859.2,6,204,51
16,30mT500,4,128,binary,0.6234872341156006,0.05527900904417038,256,943718.4,12,204,51
16,30mT500,4,128,ternary,0.5705641508102417,0.0793093740940094,256,550502.4,7,204,51
16,30mT500,4,256,analog,0.5169231295585632,0.06269490718841553,512,786432000.0,5000,204,51
16,30mT500,4,256,binary,0.698358952999115,0.05306382104754448,512,151152230.4,961,204,51
16,30mT500,4,256,ternary,0.6431282162666321,0.0674169585108757,512,128974848.0,820,204,51
16,30mT500,4,512,analog,0.532410204410553,0.06481584161520004,1024,1572864000.0,5000,204,51
16,30mT500,4,512,binary,0.7362051606178284,0.06047182157635689,1024,91540684.80000001,291,204,51
16,30mT500,4,512,ternary,0.7154359221458435,0.05132291093468666,1024,105696460.80000001,336,204,51
16,30mT500,4,1024,analog,0.5376409888267517,0.09389550983905792,2048,3145728000.0,5000,204,51
16,30mT500,4,1024,binary,0.785487174987793,0.0618867501616478,2048,111987916.80000001,178,204,51
16,30mT500,4,1024,ternary,0.7722563147544861,0.051640141755342484,2048,108213043.2,172,204,51
16,30mT500,4,2048,analog,0.5288204550743103,0.08653116226196289,4096,6291456000.0,5000,204,51
16,30mT500,4,2048,binary,0.8297436237335205,0.0423702672123909,4096,115762790.4,92,204,51
16,30mT500,4,2048,ternary,0.8020000457763672,0.04395066574215889,4096,137153740.8,109,204,51
16,30mT500,8,2,analog,0.44564101099967957,0.07055579870939255,4,3686.4,3,204,51
16,30mT500,8,2,binary,0.5457435846328735,0.05480959638953209,4,1228.8000000000002,1,204,51
16,30mT500,8,2,ternary,0.4726153612136841,0.12938080728054047,4,1228.8000000000002,1,204,51
16,30mT500,8,4,analog,0.487435907125473,0.06565263867378235,8,7372.8,3,204,51
16,30mT500,8,4,binary,0.6105641722679138,0.06870253384113312,8,7372.8,3,204,51
16,30mT500,8,4,ternary,0.5391795039176941,0.07712101191282272,8,2457.6000000000004,1,204,51
16,30mT500,8,8,analog,0.5174871683120728,0.06652279943227768,16,19660.800000000003,4,204,51
16,30mT500,8,8,binary,0.8084615468978882,0.04813196882605553,16,24576.0,5,204,51
16,30mT500,8,8,ternary,0.6578973531723022,0.08792208880186081,16,19660.800000000003,4,204,51
16,30mT500,8,16,analog,0.617435872554779,0.05647338554263115,32,39321.600000000006,4,204,51
16,30mT500,8,16,binary,0.850974440574646,0.02387090027332306,32,58982.4,6,204,51
16,30mT500,8,16,ternary,0.8071281909942627,0.044670574367046356,32,49152.0,5,204,51
16,30mT500,8,32,analog,0.6787691712379456,0.06018957495689392,64,98304.0,5,204,51
16,30mT500,8,32,binary,0.8679999709129333,0.035451214760541916,64,157286.40000000002,8,204,51
16,30mT500,8,32,ternary,0.8907179236412048,0.0543641522526741,64,117964.8,6,204,51
16,30mT500,8,64,analog,0.7084102630615234,0.04770509526133537,128,235929.6,6,204,51
16,30mT500,8,64,binary,0.9018974304199219,0.04214080795645714,128,471859.2,12,204,51
16,30mT500,8,64,ternary,0.8816922307014465,0.04498010873794556,128,275251.2,7,204,51
16,30mT500,8,128,analog,0.7369743585586548,0.060788679867982864,256,471859.2,6,204,51
16,30mT500,8,128,binary,0.9507180452346802,0.020924333482980728,256,4168089.6,53,204,51
16,30mT500,8,128,ternary,0.8905128240585327,0.05163952335715294,256,629145.6000000001,8,204,51
16,30mT500,8,256,analog,0.7432307600975037,0.05148845911026001,512,786432000.0,5000,204,51
16,30mT500,8,256,binary,0.9713333249092102,0.018826451152563095,512,34917580.800000004,222,204,51
16,30mT500,8,256,ternary,0.942717969417572,0.033246271312236786,512,56465817.6,359,204,51
16,30mT500,8,512,analog,0.7704102993011475,0.04368966072797775,1024,1572864000.0,5000,204,51
16,30mT500,8,512,binary,0.9659487009048462,0.02095824107527733,1024,59768832.0,190,204,51
16,30mT500,8,512,ternary,0.960974395275116,0.02575482428073883,1024,73295462.4,233,204,51
16,30mT500,8,1024,analog,0.7795897126197815,0.06335203349590302,2048,2146644787.2,3412,204,51
16,30mT500,8,1024,binary,0.9687179327011108,0.023593634366989136,2048,92484403.2,147,204,51
16,30mT500,8,1024,ternary,0.9635897278785706,0.026658277958631516,2048,147849216.0,235,204,51
16,30mT500,8,2048,analog,0.8138461709022522,0.047058653086423874,4096,3940968038.4,3132,204,51
16,30mT500,8,2048,binary,0.9621025919914246,0.02220127172768116,4096,173644185.60000002,138,204,51
16,30mT500,8,2048,ternary,0.9648717641830444,0.027886303141713142,4096,254174822.4,202,204,51
16,45mT,1,2,analog,0.4325641095638275,0.055537302047014236,4,3686.4,3,204,51
16,45mT,1,2,binary,0.5636922717094421,0.05495573952794075,4,3686.4,3,204,51
16,45mT,1,2,ternary,0.5161025524139404,0.07945845276117325,4,1228.8000000000002,1,204,51
16,45mT,1,4,analog,0.44317948818206787,0.0554065927863121,8,9830.400000000001,4,204,51
16,45mT,1,4,binary,0.5624615550041199,0.04472065344452858,8,9830.400000000001,4,204,51
16,45mT,1,4,ternary,0.5809743404388428,0.0787733718752861,8,9830.400000000001,4,204,51
16,45mT,1,8,analog,0.42461538314819336,0.04856197163462639,16,19660.800000000003,4,204,51
16,45mT,1,8,binary,0.6682051420211792,0.04792635887861252,16,19660.800000000003,4,204,51
16,45mT,1,8,ternary,0.608102560043335,0.055598482489585876,16,19660.800000000003,4,204,51
16,45mT,1,16,analog,0.36974361538887024,0.04657132923603058,32,39321.600000000006,4,204,51
16,45mT,1,16,binary,0.6716922521591187,0.04768834263086319,32,39321.600000000006,4,204,51
16,45mT,1,16,ternary,0.6202051639556885,0.06330880522727966,32,39321.600000000006,4,204,51
16,45mT,1,32,analog,0.381846159696579,0.05489872768521309,64,78643.20000000001,4,204,51
16,45mT,1,32,binary,0.7218974232673645,0.04613577947020531,64,98304.0,5,204,51
